,,,,,,,
,Name,Quantity,Description,URL,Price (each),,
,"Motor Driver
",2,"TB9051FTG Single Brushed DC Motor Driver Carrier
",https://www.pololu.com/product/2997/resources,$11.95,,
,Voltage Regulator,1,"Pololu 5V, 2.5A Step-Down Voltage Regulator D24V22F5",https://www.pololu.com/product/2858/resources,$8.95,,
,IMU,1,MPU-9250 9DOF Module Nine-axis,https://www.amazon.com/HiLetgo-Gyroscope-Acceleration-Accelerator-Magnetometer/dp/B01I1J0Z7Y/ref=sr_1_3?keywords=mpu-9250&qid=1699221278&sr=8-3,$14.99,,
,Chassis,1,Romi Chasis Kit,https://www.pololu.com/category/203/romi-chassis-kits,$39.95,,
,Wheel Encoders,1,Romi Encoder (pair),https://www.pololu.com/product/3542,$9.95,,
,Caster,1,Romi Chasis Caster,https://www.pololu.com/product/3530,$3.95,,
,Processor,1,Teensy 4.0,https://www.pjrc.com/store/teensy40.html,$23.80,,
,Switch,2,SPDT slide switch,https://www.pololu.com/product/1408,$1.69,,
,MOSFET,2,MOSFET,https://www.digikey.com/product-detail/en/infineon-technologies/IRFU5505PBF/IRFU5505PBF-ND/812417,0.86,,
,Chassis,1,Alternate chassis,https://www.sparkfun.com/products/16405,14.95,,
